timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712860619074,489,HTTP Request 2,200,OK,Thread Group 1-4,text,true,,736996,289,52,52,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,101,0,58
1712860619074,101,HTTP Request 2-0,302,Found,Thread Group 1-4,text,true,,991,143,52,52,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,101,0,58
1712860619175,388,HTTP Request 2-1,200,OK,Thread Group 1-4,text,true,,736005,146,52,52,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,326,0,0
1712860619155,431,HTTP Request 2,200,OK,Thread Group 1-12,text,true,,737013,289,54,54,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,104,0,52
1712860619155,104,HTTP Request 2-0,302,Found,Thread Group 1-12,text,true,,991,143,54,54,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,104,0,52
1712860619259,327,HTTP Request 2-1,200,OK,Thread Group 1-12,text,true,,736022,146,54,54,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,260,0,0
1712860619096,538,HTTP Request 2,200,OK,Thread Group 1-6,text,true,,737026,289,59,59,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,99,0,56
1712860619096,99,HTTP Request 2-0,302,Found,Thread Group 1-6,text,true,,991,143,59,59,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,99,0,56
1712860619195,439,HTTP Request 2-1,200,OK,Thread Group 1-6,text,true,,736035,146,59,59,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,368,0,0
1712860619135,509,HTTP Request 2,200,OK,Thread Group 1-10,text,true,,736996,289,60,60,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,92,0,54
1712860619135,92,HTTP Request 2-0,302,Found,Thread Group 1-10,text,true,,991,143,60,60,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,92,0,54
1712860619227,417,HTTP Request 2-1,200,OK,Thread Group 1-10,text,true,,736005,146,60,60,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,351,0,0
1712860619114,537,HTTP Request 2,200,OK,Thread Group 1-8,text,true,,737018,289,61,61,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,98,0,54
1712860619114,98,HTTP Request 2-0,302,Found,Thread Group 1-8,text,true,,991,143,61,61,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,98,0,54
1712860619212,439,HTTP Request 2-1,200,OK,Thread Group 1-8,text,true,,736027,146,61,61,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,355,0,0
1712860619105,561,HTTP Request 2,200,OK,Thread Group 1-7,text,true,,736997,289,63,63,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,108,0,63
1712860619105,108,HTTP Request 2-0,302,Found,Thread Group 1-7,text,true,,991,143,63,63,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,108,0,63
1712860619213,453,HTTP Request 2-1,200,OK,Thread Group 1-7,text,true,,736006,146,63,63,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,373,0,0
1712860619177,574,HTTP Request 2,200,OK,Thread Group 1-14,text,true,,737000,289,71,71,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,124,0,53
1712860619177,124,HTTP Request 2-0,302,Found,Thread Group 1-14,text,true,,991,143,71,71,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,124,0,53
1712860619301,450,HTTP Request 2-1,200,OK,Thread Group 1-14,text,true,,736009,146,71,71,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,350,0,0
1712860619086,677,HTTP Request 2,200,OK,Thread Group 1-5,text,true,,737006,289,72,72,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,131,0,54
1712860619086,131,HTTP Request 2-0,302,Found,Thread Group 1-5,text,true,,991,143,72,72,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,131,0,54
1712860619217,546,HTTP Request 2-1,200,OK,Thread Group 1-5,text,true,,736015,146,72,72,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,455,0,0
1712860619235,537,HTTP Request 2,200,OK,Thread Group 1-20,text,true,,737009,289,73,73,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,115,0,67
1712860619235,115,HTTP Request 2-0,302,Found,Thread Group 1-20,text,true,,991,143,73,73,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,115,0,67
1712860619350,422,HTTP Request 2-1,200,OK,Thread Group 1-20,text,true,,736018,146,73,73,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,312,0,0
1712860619167,646,HTTP Request 2,200,OK,Thread Group 1-13,text,true,,737004,289,77,77,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,152,0,51
1712860619167,152,HTTP Request 2-0,302,Found,Thread Group 1-13,text,true,,991,143,77,77,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,152,0,51
1712860619319,494,HTTP Request 2-1,200,OK,Thread Group 1-13,text,true,,736013,146,77,77,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,390,0,0
1712860619185,642,HTTP Request 2,200,OK,Thread Group 1-15,text,true,,737004,289,79,79,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,135,0,55
1712860619185,135,HTTP Request 2-0,302,Found,Thread Group 1-15,text,true,,991,143,79,79,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,135,0,55
1712860619320,507,HTTP Request 2-1,200,OK,Thread Group 1-15,text,true,,736013,146,79,79,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,399,0,0
1712860619196,641,HTTP Request 2,200,OK,Thread Group 1-16,text,true,,737010,289,80,80,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,139,0,51
1712860619196,139,HTTP Request 2-0,302,Found,Thread Group 1-16,text,true,,991,143,80,80,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,139,0,51
1712860619335,502,HTTP Request 2-1,200,OK,Thread Group 1-16,text,true,,736019,146,80,80,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,398,0,0
1712860619046,826,HTTP Request 2,200,OK,Thread Group 1-1,text,true,,737016,289,83,83,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,255,0,137
1712860619046,255,HTTP Request 2-0,302,Found,Thread Group 1-1,text,true,,991,143,83,83,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,255,0,137
1712860619301,571,HTTP Request 2-1,200,OK,Thread Group 1-1,text,true,,736025,146,83,83,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,347,0,0
1712860619294,598,HTTP Request 2,200,OK,Thread Group 1-26,text,true,,737015,289,85,85,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,149,0,61
1712860619294,149,HTTP Request 2-0,302,Found,Thread Group 1-26,text,true,,991,143,85,85,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,149,0,61
1712860619443,449,HTTP Request 2-1,200,OK,Thread Group 1-26,text,true,,736024,146,85,85,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,372,0,0
1712860619054,858,HTTP Request 2,200,OK,Thread Group 1-2,text,true,,737003,289,87,87,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,247,0,129
1712860619054,247,HTTP Request 2-0,302,Found,Thread Group 1-2,text,true,,991,143,87,87,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,247,0,129
1712860619301,611,HTTP Request 2-1,200,OK,Thread Group 1-2,text,true,,736012,146,87,87,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,364,0,0
1712860619065,893,HTTP Request 2,200,OK,Thread Group 1-3,text,true,,737006,289,92,92,https://bt.rozetka.com.ua/ua/bosch-spv2ikx10k/p335757760/,236,0,133
1712860619065,236,HTTP Request 2-0,302,Found,Thread Group 1-3,text,true,,991,143,92,92,https://bt.rozetka.com.ua/bosch-spv2ikx10k/p335757760/,236,0,133
