timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712861012965,3495,HTTP Request,200,OK,Thread Group 1-102,text,true,,716410,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,275,0,145
1712861012965,275,HTTP Request-0,302,Found,Thread Group 1-102,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,275,0,145
1712861013240,3220,HTTP Request-1,200,OK,Thread Group 1-102,text,true,,715428,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1215,0,0
1712861013023,3600,HTTP Request,200,OK,Thread Group 1-161,text,true,,716431,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,158,0,82
1712861013023,159,HTTP Request-0,302,Found,Thread Group 1-161,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,158,0,82
1712861013182,3441,HTTP Request-1,200,OK,Thread Group 1-161,text,true,,715449,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,528,0,0
1712861013403,3502,HTTP Request,200,OK,Thread Group 1-543,text,true,,716428,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1019,0,749
1712861013403,1019,HTTP Request-0,302,Found,Thread Group 1-543,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,1019,0,749
1712861014422,2483,HTTP Request-1,200,OK,Thread Group 1-543,text,true,,715446,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,649,0,0
1712861013635,3528,HTTP Request,200,OK,Thread Group 1-773,text,true,,716403,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,660,0,379
1712861013635,660,HTTP Request-0,302,Found,Thread Group 1-773,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,660,0,379
1712861014295,2868,HTTP Request-1,200,OK,Thread Group 1-773,text,true,,715421,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,734,0,0
1712861013143,4050,HTTP Request,200,OK,Thread Group 1-281,text,true,,716404,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,363,0,210
1712861013143,363,HTTP Request-0,302,Found,Thread Group 1-281,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,363,0,210
1712861013506,3687,HTTP Request-1,200,OK,Thread Group 1-281,text,true,,715422,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,2018,0,0
1712861014226,3002,HTTP Request,200,OK,Thread Group 1-1367,text,true,,716408,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,686,0,490
1712861014226,686,HTTP Request-0,302,Found,Thread Group 1-1367,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,686,0,490
1712861014912,2316,HTTP Request-1,200,OK,Thread Group 1-1367,text,true,,715426,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,463,0,0
1712861013203,4402,HTTP Request,200,OK,Thread Group 1-341,text,true,,716419,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1826,0,1346
1712861013203,1826,HTTP Request-0,302,Found,Thread Group 1-341,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,1826,0,1346
1712861015029,2576,HTTP Request-1,200,OK,Thread Group 1-341,text,true,,715437,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,428,0,0
1712861014566,3441,HTTP Request,200,OK,Thread Group 1-1707,text,true,,716401,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,746,0,262
1712861014566,746,HTTP Request-0,302,Found,Thread Group 1-1707,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,746,0,262
1712861015312,2695,HTTP Request-1,200,OK,Thread Group 1-1707,text,true,,715419,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,788,0,0
1712861014694,3371,HTTP Request,200,OK,Thread Group 1-1835,text,true,,716419,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,1034,0,277
1712861014694,1034,HTTP Request-0,302,Found,Thread Group 1-1835,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,1034,0,277
1712861015728,2337,HTTP Request-1,200,OK,Thread Group 1-1835,text,true,,715437,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,373,0,0
1712861013276,4853,HTTP Request,200,OK,Thread Group 1-414,text,true,,716402,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,986,0,277
1712861013276,993,HTTP Request-0,302,Found,Thread Group 1-414,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,986,0,277
1712861014269,3860,HTTP Request-1,200,OK,Thread Group 1-414,text,true,,715420,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,605,0,0
1712861013765,4728,HTTP Request,200,OK,Thread Group 1-903,text,true,,716404,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,716,0,481
1712861013765,716,HTTP Request-0,302,Found,Thread Group 1-903,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,716,0,481
1712861014481,4012,HTTP Request-1,200,OK,Thread Group 1-903,text,true,,715422,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,931,0,0
1712861013274,5340,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-412,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5340
1712861013269,5464,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-407,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5464
1712861013270,5463,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-409,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5463
1712861013272,5461,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-411,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5461
1712861013276,5467,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-413,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5467
1712861013277,5477,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-415,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5477
1712861013221,5544,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-359,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5544
1712861013224,5541,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-362,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5541
1712861013224,5541,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-363,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5541
1712861013215,5550,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-353,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5550
1712861013218,5551,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-356,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5551
1712861013223,5546,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-361,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5546
1712861013213,5556,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-351,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5556
1712861014109,4674,HTTP Request,200,OK,Thread Group 1-1249,text,true,,716402,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,717,0,507
1712861014109,726,HTTP Request-0,302,Found,Thread Group 1-1249,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,717,0,507
1712861014835,3948,HTTP Request-1,200,OK,Thread Group 1-1249,text,true,,715420,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,460,0,0
1712861013211,5578,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-350,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5578
1712861013243,5556,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-381,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5556
1712861013545,5268,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-683,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,5268
1712861014261,4576,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1402,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4576
1712861014105,4739,HTTP Request,200,OK,Thread Group 1-1229,text,true,,716412,271,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,730,0,517
1712861014105,730,HTTP Request-0,302,Found,Thread Group 1-1229,text,true,,982,134,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,730,0,517
1712861014835,4009,HTTP Request-1,200,OK,Thread Group 1-1229,text,true,,715430,137,2000,2000,https://bt.rozetka.com.ua/ua/11117173/p11117173/,542,0,0
1712861014258,4606,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1399,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4606
1712861014264,4600,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1405,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4600
1712861014179,4704,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1320,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4704
1712861014174,4709,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1315,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4709
1712861014257,4639,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-1397,text,false,,3253,0,2000,2000,https://bt.rozetka.com.ua/11117173/p11117173/,0,0,4639
